cluster_id,pickup_hour,pickup_weekday,trip_count
0,0,0,870
0,0,1,340
0,0,2,400
0,0,3,529
0,0,4,756
0,0,5,1512
0,0,6,1694
0,1,0,326
0,1,1,228
0,1,2,208
0,1,3,369
0,1,4,468
0,1,5,1040
0,1,6,1113
0,2,0,258
0,2,1,116
0,2,2,143
0,2,3,169
0,2,4,257
0,2,5,630
0,2,6,756
0,3,0,144
0,3,1,60
0,3,2,102
0,3,3,99
0,3,4,148
0,3,5,338
0,3,6,431
0,4,0,214
0,4,1,142
0,4,2,142
0,4,3,138
0,4,4,196
0,4,5,273
0,4,6,258
0,5,0,492
0,5,1,346
0,5,2,400
0,5,3,378
0,5,4,422
0,5,5,180
0,5,6,141
0,6,0,1204
0,6,1,1026
0,6,2,1124
0,6,3,1059
0,6,4,922
0,6,5,439
0,6,6,319
0,7,0,2077
0,7,1,1968
0,7,2,2086
0,7,3,2140
0,7,4,2016
0,7,5,773
0,7,6,521
0,8,0,2595
0,8,1,2392
0,8,2,2345
0,8,3,2411
0,8,4,2451
0,8,5,1492
0,8,6,1108
0,9,0,2436
0,9,1,2094
0,9,2,2041
0,9,3,2074
0,9,4,2275
0,9,5,2193
0,9,6,1838
0,10,0,2388
0,10,1,2038
0,10,2,2043
0,10,3,2058
0,10,4,2102
0,10,5,2695
0,10,6,2277
0,11,0,2434
0,11,1,2027
0,11,2,1999
0,11,3,1934
0,11,4,2092
0,11,5,2888
0,11,6,2791
0,12,0,2563
0,12,1,2172
0,12,2,2201
0,12,3,2182
0,12,4,2272
0,12,5,3314
0,12,6,3145
0,13,0,2526
0,13,1,2266
0,13,2,2142
0,13,3,1982
0,13,4,2262
0,13,5,3315
0,13,6,3250
0,14,0,2755
0,14,1,2309
0,14,2,2312
0,14,3,2414
0,14,4,2540
0,14,5,3067
0,14,6,3243
0,15,0,3101
0,15,1,2376
0,15,2,2342
0,15,3,2484
0,15,4,2549
0,15,5,3233
0,15,6,3182
0,16,0,2643
0,16,1,2025
0,16,2,2052
0,16,3,2297
0,16,4,2372
0,16,5,2886
0,16,6,2990
0,17,0,2917
0,17,1,2333
0,17,2,2475
0,17,3,2679
0,17,4,2747
0,17,5,3200
0,17,6,3073
0,18,0,3170
0,18,1,2541
0,18,2,2702
0,18,3,2918
0,18,4,3040
0,18,5,3518
0,18,6,3024
0,19,0,2659
0,19,1,2390
0,19,2,2428
0,19,3,2690
0,19,4,2833
0,19,5,3354
0,19,6,2140
0,20,0,2139
0,20,1,2079
0,20,2,1998
0,20,3,2407
0,20,4,2195
0,20,5,2415
0,20,6,1813
0,21,0,1991
0,21,1,1758
0,21,2,1849
0,21,3,2315
0,21,4,2191
0,21,5,2272
0,21,6,1727
0,22,0,1358
0,22,1,1336
0,22,2,1366
0,22,3,1975
0,22,4,2272
0,22,5,2354
0,22,6,1691
0,23,0,819
0,23,1,719
0,23,2,881
0,23,3,1277
0,23,4,2067
0,23,5,2263
0,23,6,1025
1,0,0,519
1,0,1,544
1,0,2,359
1,0,3,344
1,0,4,345
1,0,5,235
1,0,6,199
1,1,0,189
1,1,1,388
1,1,2,140
1,1,3,236
1,1,4,122
1,1,5,186
1,1,6,87
1,2,0,63
1,2,1,165
1,2,2,25
1,2,3,160
1,2,4,22
1,2,5,33
1,2,6,11
1,3,0,16
1,3,1,14
1,3,2,16
1,3,3,171
1,3,4,30
1,3,5,14
1,3,6,11
1,4,0,12
1,4,1,23
1,4,2,6
1,4,3,11
1,4,4,7
1,4,5,21
1,4,6,9
1,5,0,143
1,5,1,100
1,5,2,115
1,5,3,128
1,5,4,167
1,5,5,161
1,5,6,96
1,6,0,855
1,6,1,592
1,6,2,542
1,6,3,486
1,6,4,478
1,6,5,353
1,6,6,402
1,7,0,639
1,7,1,457
1,7,2,434
1,7,3,370
1,7,4,404
1,7,5,324
1,7,6,334
1,8,0,407
1,8,1,239
1,8,2,352
1,8,3,271
1,8,4,287
1,8,5,250
1,8,6,167
1,9,0,315
1,9,1,255
1,9,2,183
1,9,3,220
1,9,4,195
1,9,5,197
1,9,6,143
1,10,0,692
1,10,1,374
1,10,2,315
1,10,3,309
1,10,4,344
1,10,5,338
1,10,6,422
1,11,0,604
1,11,1,332
1,11,2,356
1,11,3,381
1,11,4,416
1,11,5,406
1,11,6,359
1,12,0,751
1,12,1,501
1,12,2,415
1,12,3,350
1,12,4,490
1,12,5,425
1,12,6,559
1,13,0,734
1,13,1,455
1,13,2,546
1,13,3,505
1,13,4,659
1,13,5,533
1,13,6,583
1,14,0,1040
1,14,1,609
1,14,2,581
1,14,3,772
1,14,4,711
1,14,5,755
1,14,6,875
1,15,0,1082
1,15,1,695
1,15,2,658
1,15,3,798
1,15,4,801
1,15,5,850
1,15,6,942
1,16,0,1114
1,16,1,762
1,16,2,800
1,16,3,874
1,16,4,945
1,16,5,720
1,16,6,1011
1,17,0,1167
1,17,1,845
1,17,2,876
1,17,3,1020
1,17,4,985
1,17,5,795
1,17,6,1189
1,18,0,1013
1,18,1,730
1,18,2,676
1,18,3,653
1,18,4,800
1,18,5,640
1,18,6,936
1,19,0,1075
1,19,1,737
1,19,2,561
1,19,3,699
1,19,4,802
1,19,5,660
1,19,6,810
1,20,0,1189
1,20,1,706
1,20,2,768
1,20,3,785
1,20,4,753
1,20,5,732
1,20,6,879
1,21,0,1345
1,21,1,645
1,21,2,589
1,21,3,833
1,21,4,963
1,21,5,575
1,21,6,1040
1,22,0,1267
1,22,1,640
1,22,2,555
1,22,3,734
1,22,4,851
1,22,5,722
1,22,6,1110
1,23,0,1110
1,23,1,631
1,23,2,644
1,23,3,663
1,23,4,831
1,23,5,502
1,23,6,800
2,0,0,995
2,0,1,688
2,0,2,1077
2,0,3,1144
2,0,4,1824
2,0,5,3007
2,0,6,2982
2,1,0,637
2,1,1,348
2,1,2,619
2,1,3,569
2,1,4,1126
2,1,5,3181
2,1,6,3414
2,2,0,380
2,2,1,231
2,2,2,382
2,2,3,311
2,2,4,710
2,2,5,2873
2,2,6,3267
2,3,0,261
2,3,1,121
2,3,2,193
2,3,3,196
2,3,4,362
2,3,5,1851
2,3,6,2345
2,4,0,239
2,4,1,120
2,4,2,188
2,4,3,163
2,4,4,240
2,4,5,765
2,4,6,865
2,5,0,172
2,5,1,131
2,5,2,134
2,5,3,151
2,5,4,168
2,5,5,232
2,5,6,230
2,6,0,375
2,6,1,356
2,6,2,359
2,6,3,359
2,6,4,357
2,6,5,169
2,6,6,163
2,7,0,671
2,7,1,672
2,7,2,645
2,7,3,699
2,7,4,622
2,7,5,225
2,7,6,139
2,8,0,913
2,8,1,833
2,8,2,878
2,8,3,898
2,8,4,869
2,8,5,401
2,8,6,273
2,9,0,946
2,9,1,930
2,9,2,977
2,9,3,964
2,9,4,1003
2,9,5,648
2,9,6,482
2,10,0,946
2,10,1,902
2,10,2,909
2,10,3,995
2,10,4,940
2,10,5,904
2,10,6,749
2,11,0,1075
2,11,1,893
2,11,2,978
2,11,3,966
2,11,4,1016
2,11,5,1142
2,11,6,1031
2,12,0,1138
2,12,1,1074
2,12,2,1096
2,12,3,1137
2,12,4,1140
2,12,5,1450
2,12,6,1238
2,13,0,1282
2,13,1,1164
2,13,2,1221
2,13,3,1227
2,13,4,1234
2,13,5,1741
2,13,6,1487
2,14,0,1498
2,14,1,1198
2,14,2,1212
2,14,3,1331
2,14,4,1432
2,14,5,1823
2,14,6,1669
2,15,0,1444
2,15,1,1096
2,15,2,1118
2,15,3,1231
2,15,4,1284
2,15,5,2030
2,15,6,1737
2,16,0,1365
2,16,1,978
2,16,2,1025
2,16,3,1039
2,16,4,1231
2,16,5,1846
2,16,6,1712
2,17,0,1586
2,17,1,1277
2,17,2,1335
2,17,3,1378
2,17,4,1516
2,17,5,2150
2,17,6,1781
2,18,0,2105
2,18,1,1765
2,18,2,1846
2,18,3,2033
2,18,4,2000
2,18,5,2364
2,18,6,1830
2,19,0,2079
2,19,1,1995
2,19,2,2041
2,19,3,2259
2,19,4,2299
2,19,5,2462
2,19,6,1582
2,20,0,2021
2,20,1,2157
2,20,2,2211
2,20,3,2466
2,20,4,2190
2,20,5,2222
2,20,6,1503
2,21,0,2092
2,21,1,2324
2,21,2,2390
2,21,3,2572
2,21,4,2345
2,21,5,2206
2,21,6,1452
2,22,0,1944
2,22,1,2271
2,22,2,2402
2,22,3,2736
2,22,4,2488
2,22,5,2577
2,22,6,1363
2,23,0,1505
2,23,1,1785
2,23,2,1964
2,23,3,2647
2,23,4,2886
2,23,5,3027
2,23,6,1182
3,0,0,905
3,0,1,1008
3,0,2,1122
3,0,3,774
3,0,4,931
3,0,5,792
3,0,6,182
3,1,0,210
3,1,1,548
3,1,2,515
3,1,3,398
3,1,4,360
3,1,5,34
3,1,6,96
3,2,0,14
3,2,1,360
3,2,2,26
3,2,3,532
3,2,4,19
3,2,5,13
3,2,6,18
3,3,0,66
3,3,1,104
3,3,2,19
3,3,3,117
3,3,4,13
3,3,5,11
3,3,6,10
3,4,0,19
3,4,1,16
3,4,2,18
3,4,3,37
3,4,4,27
3,4,5,31
3,4,6,20
3,5,0,42
3,5,1,37
3,5,2,35
3,5,3,72
3,5,4,40
3,5,5,17
3,5,6,25
3,6,0,88
3,6,1,85
3,6,2,66
3,6,3,107
3,6,4,42
3,6,5,41
3,6,6,44
3,7,0,553
3,7,1,311
3,7,2,321
3,7,3,252
3,7,4,185
3,7,5,143
3,7,6,114
3,8,0,1388
3,8,1,1061
3,8,2,791
3,8,3,763
3,8,4,640
3,8,5,342
3,8,6,342
3,9,0,1993
3,9,1,1158
3,9,2,1091
3,9,3,1009
3,9,4,873
3,9,5,466
3,9,6,526
3,10,0,1718
3,10,1,1516
3,10,2,1351
3,10,3,1301
3,10,4,962
3,10,5,710
3,10,6,742
3,11,0,1870
3,11,1,1454
3,11,2,1175
3,11,3,1044
3,11,4,1037
3,11,5,590
3,11,6,535
3,12,0,1486
3,12,1,1207
3,12,2,1002
3,12,3,1267
3,12,4,945
3,12,5,776
3,12,6,768
3,13,0,1755
3,13,1,890
3,13,2,968
3,13,3,1023
3,13,4,1093
3,13,5,930
3,13,6,1022
3,14,0,1880
3,14,1,979
3,14,2,1102
3,14,3,1077
3,14,4,1228
3,14,5,803
3,14,6,1190
3,15,0,1729
3,15,1,991
3,15,2,1213
3,15,3,1279
3,15,4,1452
3,15,5,816
3,15,6,1416
3,16,0,1764
3,16,1,1221
3,16,2,1072
3,16,3,1262
3,16,4,1406
3,16,5,841
3,16,6,1443
3,17,0,2006
3,17,1,1389
3,17,2,1329
3,17,3,1463
3,17,4,1621
3,17,5,787
3,17,6,1649
3,18,0,1587
3,18,1,1251
3,18,2,1207
3,18,3,1512
3,18,4,1502
3,18,5,565
3,18,6,1387
3,19,0,1817
3,19,1,1303
3,19,2,1236
3,19,3,1525
3,19,4,1436
3,19,5,701
3,19,6,1551
3,20,0,1908
3,20,1,1534
3,20,2,1278
3,20,3,1443
3,20,4,1614
3,20,5,510
3,20,6,1590
3,21,0,1980
3,21,1,1422
3,21,2,1294
3,21,3,1671
3,21,4,1598
3,21,5,908
3,21,6,1892
3,22,0,1871
3,22,1,1278
3,22,2,1199
3,22,3,1651
3,22,4,1170
3,22,5,484
3,22,6,1573
3,23,0,2365
3,23,1,1604
3,23,2,1375
3,23,3,1964
3,23,4,1738
3,23,5,758
3,23,6,1851
4,0,0,1044
4,0,1,1224
4,0,2,1665
4,0,3,1674
4,0,4,2247
4,0,5,2347
4,0,6,2121
4,1,0,521
4,1,1,645
4,1,2,843
4,1,3,878
4,1,4,1165
4,1,5,1489
4,1,6,1473
4,2,0,294
4,2,1,340
4,2,2,408
4,2,3,435
4,2,4,580
4,2,5,839
4,2,6,924
4,3,0,193
4,3,1,192
4,3,2,230
4,3,3,279
4,3,4,386
4,3,5,527
4,3,6,633
4,4,0,246
4,4,1,201
4,4,2,258
4,4,3,270
4,4,4,362
4,4,5,382
4,4,6,377
4,5,0,559
4,5,1,552
4,5,2,584
4,5,3,599
4,5,4,690
4,5,5,277
4,5,6,282
4,6,0,1848
4,6,1,1727
4,6,2,1745
4,6,3,1774
4,6,4,1845
4,6,5,594
4,6,6,419
4,7,0,3360
4,7,1,3179
4,7,2,3599
4,7,3,3400
4,7,4,3154
4,7,5,848
4,7,6,564
4,8,0,4964
4,8,1,4739
4,8,2,4935
4,8,3,4796
4,8,4,4333
4,8,5,1263
4,8,6,981
4,9,0,4714
4,9,1,4438
4,9,2,4526
4,9,3,4681
4,9,4,4104
4,9,5,1968
4,9,6,1595
4,10,0,4024
4,10,1,3669
4,10,2,3742
4,10,3,3826
4,10,4,3668
4,10,5,2686
4,10,6,2358
4,11,0,4345
4,11,1,3946
4,11,2,4268
4,11,3,4115
4,11,4,3942
4,11,5,3234
4,11,6,2899
4,12,0,4349
4,12,1,4240
4,12,2,4417
4,12,3,4282
4,12,4,4093
4,12,5,3453
4,12,6,3212
4,13,0,4262
4,13,1,4260
4,13,2,4310
4,13,3,4254
4,13,4,4062
4,13,5,3328
4,13,6,2886
4,14,0,4415
4,14,1,4187
4,14,2,4339
4,14,3,4627
4,14,4,4343
4,14,5,3032
4,14,6,2771
4,15,0,4411
4,15,1,3823
4,15,2,3946
4,15,3,4122
4,15,4,3817
4,15,5,2870
4,15,6,2653
4,16,0,4136
4,16,1,3300
4,16,2,3444
4,16,3,3199
4,16,4,3275
4,16,5,2952
4,16,6,2905
4,17,0,5358
4,17,1,4039
4,17,2,4052
4,17,3,4057
4,17,4,4132
4,17,5,3511
4,17,6,3257
4,18,0,6503
4,18,1,4898
4,18,2,5212
4,18,3,4805
4,18,4,4814
4,18,5,3963
4,18,6,3314
4,19,0,6654
4,19,1,5541
4,19,2,5904
4,19,3,5054
4,19,4,4984
4,19,5,3895
4,19,6,2714
4,20,0,6060
4,20,1,5755
4,20,2,5911
4,20,3,5760
4,20,4,5278
4,20,5,3150
4,20,6,2401
4,21,0,5586
4,21,1,5601
4,21,2,5772
4,21,3,5872
4,21,4,4290
4,21,5,2770
4,21,6,2158
4,22,0,4528
4,22,1,4633
4,22,2,4795
4,22,3,5422
4,22,4,3658
4,22,5,2875
4,22,6,1885
4,23,0,2636
4,23,1,2805
4,23,2,3115
4,23,3,3742
4,23,4,2971
4,23,5,2749
4,23,6,1427
5,0,0,459
5,0,1,270
5,0,2,267
5,0,3,274
5,0,4,303
5,0,5,548
5,0,6,570
5,1,0,280
5,1,1,160
5,1,2,186
5,1,3,198
5,1,4,258
5,1,5,436
5,1,6,435
5,2,0,178
5,2,1,131
5,2,2,155
5,2,3,140
5,2,4,202
5,2,5,317
5,2,6,309
5,3,0,114
5,3,1,100
5,3,2,102
5,3,3,103
5,3,4,169
5,3,5,268
5,3,6,307
5,4,0,226
5,4,1,172
5,4,2,140
5,4,3,189
5,4,4,213
5,4,5,277
5,4,6,290
5,5,0,378
5,5,1,270
5,5,2,276
5,5,3,267
5,5,4,315
5,5,5,282
5,5,6,245
5,6,0,629
5,6,1,515
5,6,2,470
5,6,3,522
5,6,4,625
5,6,5,425
5,6,6,410
5,7,0,953
5,7,1,771
5,7,2,891
5,7,3,920
5,7,4,950
5,7,5,566
5,7,6,488
5,8,0,759
5,8,1,606
5,8,2,698
5,8,3,669
5,8,4,831
5,8,5,685
5,8,6,501
5,9,0,436
5,9,1,358
5,9,2,392
5,9,3,412
5,9,4,417
5,9,5,778
5,9,6,670
5,10,0,401
5,10,1,251
5,10,2,283
5,10,3,257
5,10,4,348
5,10,5,830
5,10,6,716
5,11,0,390
5,11,1,242
5,11,2,308
5,11,3,310
5,11,4,432
5,11,5,699
5,11,6,667
5,12,0,455
5,12,1,366
5,12,2,381
5,12,3,386
5,12,4,504
5,12,5,725
5,12,6,713
5,13,0,466
5,13,1,340
5,13,2,380
5,13,3,408
5,13,4,542
5,13,5,682
5,13,6,720
5,14,0,506
5,14,1,429
5,14,2,418
5,14,3,380
